Tematica,fecha_mensual,Cantidad
HURTO A PERSONAS,01/02/2014,7734.00
HURTO A PERSONAS,01/03/2014,8145.00
HURTO A PERSONAS,01/04/2014,7578.00
HURTO A PERSONAS,01/05/2014,8285.00
HURTO A PERSONAS,01/06/2014,7006.00
HURTO A PERSONAS,01/07/2014,8479.00
HURTO A PERSONAS,01/08/2014,8621.00
HURTO A PERSONAS,01/09/2014,8921.00
HURTO A PERSONAS,01/10/2014,7897.00
HURTO A PERSONAS,01/11/2014,6837.00
HURTO A PERSONAS,01/12/2014,6641.00
HURTO A PERSONAS,01/01/2015,8985.00
HURTO A PERSONAS,01/02/2015,8961.00
HURTO A PERSONAS,01/03/2015,8426.00
HURTO A PERSONAS,01/04/2015,8703.00
HURTO A PERSONAS,01/05/2015,8786.00
HURTO A PERSONAS,01/06/2015,7912.00
HURTO A PERSONAS,01/07/2015,8279.00
HURTO A PERSONAS,01/08/2015,8434.00
HURTO A PERSONAS,01/09/2015,7942.00
HURTO A PERSONAS,01/10/2015,8843.00
HURTO A PERSONAS,01/11/2015,8332.00
HURTO A PERSONAS,01/12/2015,7845.00
HURTO A PERSONAS,01/01/2016,11921.00
HURTO A PERSONAS,01/02/2016,12506.00
HURTO A PERSONAS,01/03/2016,11775.00
HURTO A PERSONAS,01/04/2016,11657.00
HURTO A PERSONAS,01/05/2016,11772.00
HURTO A PERSONAS,01/06/2016,11686.00
HURTO A PERSONAS,01/07/2016,11855.00
HURTO A PERSONAS,01/08/2016,12754.00
HURTO A PERSONAS,01/09/2016,12683.00
HURTO A PERSONAS,01/10/2016,12839.00
HURTO A PERSONAS,01/11/2016,12388.00
HURTO A PERSONAS,01/12/2016,13027.00
HURTO A PERSONAS,01/01/2017,14978.00
HURTO A PERSONAS,01/02/2017,14952.00
HURTO A PERSONAS,01/03/2017,16238.00
HURTO A PERSONAS,01/04/2017,14276.00
HURTO A PERSONAS,01/05/2017,15519.00
HURTO A PERSONAS,01/06/2017,14884.00
HURTO A PERSONAS,01/07/2017,15678.00
HURTO A PERSONAS,01/08/2017,20027.00
HURTO A PERSONAS,01/09/2017,19627.00
HURTO A PERSONAS,01/10/2017,21063.00
HURTO A PERSONAS,01/11/2017,21458.00
HURTO A PERSONAS,01/12/2017,21081.00
HURTO A PERSONAS,01/01/2018,18813.00
HURTO A PERSONAS,01/02/2018,19010.00
HURTO A PERSONAS,01/03/2018,19766.00
HURTO A PERSONAS,01/04/2018,22250.00
HURTO A PERSONAS,01/05/2018,21942.00
HURTO A PERSONAS,01/06/2018,20590.00
HURTO A PERSONAS,01/07/2018,20904.00
HURTO A PERSONAS,01/08/2018,23326.00
HURTO A PERSONAS,01/09/2018,21938.00
HURTO A PERSONAS,01/10/2018,23539.00
HURTO A PERSONAS,01/11/2018,22555.00
HURTO A PERSONAS,01/12/2018,22435.00
HURTO A PERSONAS,01/01/2019,21785.00
HURTO A PERSONAS,01/02/2019,22992.00
HURTO A PERSONAS,01/03/2019,26513.00
HURTO A PERSONAS,01/04/2019,23847.00
HURTO A PERSONAS,01/05/2019,25809.00
HURTO A PERSONAS,01/06/2019,24036.00
HURTO A PERSONAS,01/07/2019,25192.00
HURTO A PERSONAS,01/08/2019,26420.00
HURTO A PERSONAS,01/09/2019,25131.00
HURTO A PERSONAS,01/10/2019,26518.00
HURTO A PERSONAS,01/11/2019,27064.00
HURTO A PERSONAS,01/12/2019,31529.00
HURTO A PERSONAS,01/01/2020,30419.00
HURTO A PERSONAS,01/02/2020,21733.00
HURTO A PERSONAS,01/03/2020,14959.00
HURTO A PERSONAS,01/04/2020,6499.00
HURTO A PERSONAS,01/05/2020,11592.00
HURTO A PERSONAS,01/06/2020,13768.00
HURTO A PERSONAS,01/07/2020,16253.00
HURTO A PERSONAS,01/08/2020,15908.00
HURTO A PERSONAS,01/09/2020,17107.00
HURTO A PERSONAS,01/10/2020,19164.00
HURTO A PERSONAS,01/11/2020,19245.00
HURTO A PERSONAS,01/12/2020,590.00
HURTO A PERSONAS,01/01/2021,18214.00
HURTO A PERSONAS,01/02/2021,19566.00
HURTO A PERSONAS,01/03/2021,22429.00
HURTO A PERSONAS,01/04/2021,18711.00
HURTO A PERSONAS,01/05/2021,21495.00
HURTO A PERSONAS,01/06/2021,23102.00
HURTO A PERSONAS,01/07/2021,24591.00
HURTO A PERSONAS,01/08/2021,24950.00
HURTO A PERSONAS,01/09/2021,24453.00
HURTO A PERSONAS,01/10/2021,28281.00
HURTO A PERSONAS,01/11/2021,28423.00
HURTO A PERSONAS,01/12/2021,27201.00
HURTO A PERSONAS,01/01/2022,23813.00
HURTO A PERSONAS,01/02/2022,24404.00
HURTO A PERSONAS,01/03/2022,29597.00
HURTO A PERSONAS,01/04/2022,26822.00
HURTO A PERSONAS,01/05/2022,25711.00
HURTO A PERSONAS,01/06/2022,24107.00
HURTO A PERSONAS,01/07/2022,24845.00
HURTO A PERSONAS,01/08/2022,30997.00
HURTO A PERSONAS,01/09/2022,35577.00
HURTO A PERSONAS,01/10/2022,37326.00
HURTO A PERSONAS,01/11/2022,33172.00
HURTO A PERSONAS,01/12/2022,35309.00
HURTO A PERSONAS,01/01/2023,32994.00
HURTO A PERSONAS,01/02/2023,30079.00
HURTO A PERSONAS,01/03/2023,35088.00
HURTO A PERSONAS,01/04/2023,32624.00
HURTO A PERSONAS,01/05/2023,34068.00
HURTO A PERSONAS,01/06/2023,33305.00
HURTO A PERSONAS,01/07/2023,31962.00
HURTO A PERSONAS,01/08/2023,32775.00
HURTO A PERSONAS,01/09/2023,31575.00
HURTO A PERSONAS,01/10/2023,32406.00
HURTO A PERSONAS,01/11/2023,32096.00
HURTO A PERSONAS,01/12/2023,32033.00
HURTO A PERSONAS,01/01/2024,29455.00
HURTO A PERSONAS,01/02/2024,27309.00
HURTO A PERSONAS,01/03/2024,24326.00
HURTO A PERSONAS,01/04/2024,27410.00
HURTO A PERSONAS,01/05/2024,27590.00
HURTO A PERSONAS,01/06/2024,23735.00
HURTO A PERSONAS,01/07/2024,25234.00
HURTO A PERSONAS,01/08/2024,27743.00
HURTO A PERSONAS,01/09/2024,26501.00
HURTO A PERSONAS,01/10/2024,27326.00
HURTO A PERSONAS,01/11/2024,27079.00
HURTO A PERSONAS,01/12/2024,22506.00
HURTO A PERSONAS,01/01/2025,23810.00
HURTO A PERSONAS,01/02/2025,23574.00
HURTO A PERSONAS,01/03/2025,25256.00
HURTO A PERSONAS,01/04/2025,24788.00
HURTO A PERSONAS,01/05/2025,23265.00
HURTO A PERSONAS,01/06/2025,23461.00
HURTO A PERSONAS,01/07/2025,25515.00
HURTO A PERSONAS,01/08/2025,25256.00
HURTO A PERSONAS,01/09/2025,25479.00
